date,invested,portfolio_value,benchmark_value
2019-02-11,13374.434364067281,17489.008208122228,15939.092794529808
2019-02-12,13374.434364067281,17847.58530550634,16145.689831471984
2019-02-13,13374.434364067281,17862.03247495235,16195.848920618844
2019-02-14,13374.434364067281,17813.073723682846,16158.532322712621
2019-02-15,13374.434364067281,17759.021618921754,16335.488849508865
2019-02-18,13374.434364067281,17759.155506211577,16335.488849508865
2019-02-19,13374.434364067281,17867.33298109781,16361.202662366713
2019-02-20,13374.434364067281,17812.81615890013,16393.440789441105
2019-02-21,13374.434364067281,17679.503808812537,16337.052897437487
2019-02-22,13374.434364067281,17852.9066894852,16442.301070123747
2019-02-25,13539.054359184469,18031.573813816034,16629.47506882732
2019-02-26,13539.054359184469,18090.913248614313,16616.505630879
2019-02-27,13539.054359184469,18109.23672892903,16610.034015288496
2019-02-28,13539.054359184469,17892.285887150563,16568.052230012374
2019-03-01,13539.054359184469,18114.256901691857,16683.206221440993
2019-03-04,13539.054359184469,18192.167687169083,16618.859872141064
2019-03-05,13539.054359184469,18313.935894696886,16600.582107883856
2019-03-06,13539.054359184469,18237.056065275872,16493.060109464343
2019-03-07,13539.054359184469,17941.654815535978,16362.519833770137
2019-03-08,13539.054359184469,17910.234935949018,16329.213944400386
2019-03-11,13539.054359184469,18323.038533635976,16568.88647877129
2019-03-12,13539.054359184469,18459.029291732568,16568.88647877129
2019-03-13,13539.054359184469,18575.53445949138,16735.238301975
2019-03-14,13539.054359184469,18506.557582251982,16726.381870560577
2019-03-15,13539.054359184469,18569.31122583053,16810.408046168035
2019-03-18,13539.054359184469,18631.166995407537,16872.905362442103
2019-03-19,13539.054359184469,18751.797109458268,16871.175715800597
2019-03-20,13539.054359184469,19051.41798200196,16822.246225328086
2019-03-21,13539.054359184469,19235.86907408492,17005.741642137713
2019-03-22,13539.054359184469,18751.946062755884,16684.36951072262
2019-03-25,13539.054359184469,18771.31645221485,16671.63738961148
2019-03-26,13539.054359184469,18783.258189697422,16791.38484497443
2019-03-27,13539.054359184469,18621.47301997981,16713.649749449447
2019-03-28,13539.054359184469,18607.78912186755,16776.266452107862
2019-03-29,13539.054359184469,18711.803699864748,16889.990718787354
2019-04-01,13608.0643613207,19081.564019845882,17154.54397103163
2019-04-02,13608.0643613207,19159.22784837411,17155.47222174957
2019-04-03,13608.0643613207,19238.786302082473,17192.355204213072
2019-04-04,13608.0643613207,19263.281909389007,17232.142807427044
2019-04-05,13608.0643613207,19291.17910430772,17312.197488241574
2019-04-08,13608.0643613207,19337.35424652572,17330.638248567255
2019-04-09,13608.0643613207,19288.5709268093,17230.736544134674
2019-04-10,13608.0643613207,19373.578124202217,17292.109265618084
